CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
5373101,EXECUTIVE PARK,BLVD,94134,10,N,DPW,Bayview Heights,STREETS,5373101,EXECUTIVE PARK BLVD,EXECUTIVE PARK BLVD fr:EXECUTIVE PARK BLVD to:THOMAS MELLON DR,19722,Bayview Heights,6014485.224,2086949.002
6176000,GILLETTE,AVE,94134,10,N,,Visitacion Valley,STREETS,6176000,GILLETTE AVE,GILLETTE AVE fr:GILLETTE AVE to:BLANKEN AVE,14887,Visitacion Valley,6013147.085,2087030.453
12254000,SUNNYDALE,AVE,94134,10,N,DPW,Visitacion Valley,STREETS,12254000,SUNNYDALE AVE,SUNNYDALE AVE fr:START: 250-299 BLOCK to:BAY SHORE BLVD,21457,Visitacion Valley,6010750.885,2086123.151
6896000,HESTER,AVE,94134,10,N,DPW,Visitacion Valley,STREETS,6896000,HESTER AVE,HESTER AVE fr:WHEELER AVE to:BAY SHORE BLVD,13431,Visitacion Valley,6012202.744,2087829.828
6895000,HESTER,AVE,94134,10,N,DPW,Visitacion Valley,STREETS,6895000,HESTER AVE,HESTER AVE fr:PENINSULA AVE to:WHEELER AVE,15181,Visitacion Valley,6012403.395,2087701.789
9718000,NUEVA,AVE,94134,10,N,DPW,Visitacion Valley,STREETS,9718000,NUEVA AVE,NUEVA AVE fr:START: 1-199 BLOCK to:BLANKEN AVE,41191,Visitacion Valley,6012965.461,2087316.099
7804000,KENNY,ALY,94112,11,N,,Excelsior,Streets_Pedestri,7804000,KENNY ALY,KENNY ALY fr:MISSION ST to:LONDON ST,2478,Excelsior,6001018.643,2090122.19
11645000,SARGENT,ST,94132,11,N,,Ingleside Heights,Streets_Pedestri,11645000,SARGENT ST,SARGENT ST fr:ORIZABA AVE to:SARGENT ST,3028,Ingleside Heights,5993993.137,2089178.909
2398000,ARCH,ST,94132,11,N,,Ingleside Heights,UPROW,2398000,ARCH ST,ARCH ST fr:START: 349-399 BLOCK to:SHIELDS ST,14970,Ingleside Heights,5992725.459,2089722.934
10904000,RAMSELL,ST,94132,11,N,,Ingleside Heights,UPROW,10904000,RAMSELL ST,RAMSELL ST fr:START: 300-399 BLOCK to:SHIELDS ST,14970,Ingleside Heights,5992986.199,2089719.638
10891000,RALSTON,ST,94132,7,N,,Ingleside Heights,Paper_fwys,10891000,RALSTON ST,RALSTON ST fr:ALEMANY BLVD to:END: 1-4 BLOCK,21577,Ingleside Heights,5992585.446,2087642.719
12073000,STANLEY,ST,94132,11,N,,Ingleside Heights,Paper_fwys,12073000,STANLEY ST,STANLEY ST fr:START: 100-199 BLOCK to:HEAD ST,9892,Ingleside Heights,5993565.164,2087860.57
10233000,PANAMA,ST,94132,7,N,,Ingleside Heights,STREETS,10233000,PANAMA ST,PANAMA ST fr:BELLE AVE to:END: 100-199 BLOCK,10962,Ingleside Heights,5992305.653,2086830.409
